Iteration,Best_Fitness,Mean_Fitness,Selected_Features
1,0.920266917783636,0.6602529315390041,6
2,0.929498864288652,0.7843425265059666,4
3,0.929498864288652,0.8332631425311112,4
4,0.929498864288652,0.7321968559733055,4
5,0.9315727454448945,0.785461193995787,3
6,0.9315727454448945,0.753548580836977,3
7,0.9315727454448945,0.8248334873172768,3
8,0.9315727454448945,0.7859091508889465,3
9,0.9315727454448945,0.8666673330973201,3
10,0.9315727454448945,0.705348134655763,3
11,0.9315727454448945,0.7426585369565969,3
12,0.9315727454448945,0.8065323162268246,3
13,0.9315727454448945,0.9241384255234979,3
14,0.9315727454448945,0.6818900423865403,3
15,0.9315727454448945,0.8425610952074059,3
